player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Alim McNeill,76996,DI,DET,9,1,0,11,76.4,2,25,275,99.0,14.2,39,0,6.4,4,302,299,31,1,78.1,0,16,134,100.0,16.4,22,8.2,3,148,148,19
Amari Gainer,77091,ED,LV,1,0,0,23,55.6,0,0,2,75.0,0.0,0,0,0.0,0,4,3,0,0,58.3,0,0,0,100.0,,0,,0,1,1,0
Yasir Abdullah,77100,LB,JAX,8,0,0,15,55.5,0,6,52,70.4,5.8,3,0,5.8,0,81,57,6,0,60.5,0,5,33,95.0,9.1,3,7.6,0,40,38,5
Payton Wilson,77127,LB,PIT,9,0,0,25,75.7,2,0,11,7.5,27.3,3,0,9.1,0,159,12,2,0,78.9,1,0,5,5.7,40.0,2,10.0,0,87,5,1
Zaven Collins,77190,ED,ARZ,10,0,0,1,53.9,0,12,173,80.8,9.8,17,4,5.8,4,219,177,16,0,60.0,0,6,91,86.9,14.3,13,7.7,4,107,93,10
Brian Asamoah II,77195,LB,MIN,1,0,0,18,61.9,0,0,7,53.8,14.3,1,0,0.0,0,13,7,0,0,54.4,0,0,3,75.0,0.0,0,0.0,0,4,3,0
Nik Bonitto,77196,ED,DEN,10,0,1,10,68.8,6,18,197,87.3,12.2,24,2,9.6,7,245,214,31,0,65.6,4,13,96,89.1,14.6,14,13.0,4,119,106,21
Joseph Ossai,77205,ED,CIN,10,0,0,7,58.7,4,9,150,89.2,9.3,14,0,4.3,0,185,165,13,0,55.9,1,7,70,96.3,10.0,7,5.7,0,81,78,8
Chase Brown,77787,HB,CIN,1,0,0,7,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Tre'von Moehrig,77847,S,LV,9,1,0,23,65.9,1,2,23,7.1,8.7,2,1,10.9,1,336,24,4,0,74.8,1,0,4,3.2,25.0,1,12.5,0,157,5,1
Ar'Darius Washington,77848,S,BLT,10,0,0,3,50.8,1,1,13,6.9,7.7,1,0,15.4,1,231,16,3,0,47.6,1,1,9,8.9,0.0,0,22.2,1,135,12,3
Cobie Durant,79126,CB,LA,9,0,0,26,94.1,1,0,3,1.0,33.3,1,0,50.0,1,295,3,2,0,93.7,0,0,1,0.7,0.0,0,100.0,1,135,1,1
Christian Benford,79181,CB,BUF,9,0,1,4,54.7,0,1,2,0.6,0.0,0,4,25.0,0,352,2,1,0,56.2,0,1,1,0.7,0.0,0,50.0,0,146,1,1
Nick Hampton,81162,ED,LA,1,1,0,26,67.3,0,1,1,100.0,0.0,0,0,50.0,0,1,1,1,0,,0,0,0,,,0,,0,0,0,0
Micah McFadden,81246,LB,NYG,9,0,0,21,74.2,2,3,24,12.9,12.5,3,0,22.9,3,194,25,8,0,53.2,0,3,9,15.3,22.2,2,16.7,0,59,9,3
Damone Clark,81282,LB,DAL,7,0,0,9,72.2,0,0,3,4.7,33.3,1,0,33.3,1,64,3,1,0,74.9,0,0,2,8.0,50.0,1,50.0,1,25,2,1
Nick Bolton,81322,LB,KC,9,0,0,16,47.2,2,3,46,15.6,0.0,0,0,7.6,1,326,51,6,0,50.2,1,3,25,19.3,0.0,0,12.0,1,140,27,5
Dylan Horton,81335,ED,HST,6,0,0,13,47.9,2,1,49,98.0,4.1,2,0,3.1,0,51,50,3,0,48.1,1,0,19,95.0,0.0,0,2.6,0,20,19,1
Micah Parsons,81360,ED,DAL,5,1,0,9,90.4,5,18,132,97.3,20.5,27,1,11.0,3,147,143,26,0,90.7,4,5,56,96.8,28.6,16,13.4,3,63,61,12
Jesse Luketa,81361,ED,ARZ,6,0,0,1,56.4,1,4,65,78.6,4.6,3,0,6.9,2,84,66,7,0,59.8,1,3,37,86.0,5.4,2,10.8,2,43,37,6
